"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"1640549883","","","","","2009-04-28 17:01:03 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Lightning just struck the road outside. Car alarms going off."
"1482997906","1482970784","16823773","","","2009-04-09 12:02:51 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@mattbeighton At least 1 that I know of..."
"1482963459","","","","","2009-04-09 11:54:14 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","RT @Glinner: @theianlewis: @Glinner sign the petition if you want to protest criminalisation of photography  http://tinyurl.com/d6nmku"
"1482330398","1482323718","17683480","","","2009-04-09 08:24:59 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@richardpeacock @caffeinebomb @sciencemuseum As it's easter weekend... #followfursday"
"1482328591","1482323718","17683480","","","2009-04-09 08:24:22 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@richardpeacock Lets go then..."
"1482307908","1482166014","17683480","","","2009-04-09 08:16:56 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@richardpeacock Sooo... #followfursday?"
"1476389126","","","","","2009-04-08 13:12:03 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","""Penalty miss haunts Terry"" Translation: ""Overpaid loser wines about something or other givaashit pfft"""
"1476342978","","7905122","","","2009-04-08 13:03:30 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@guardiantech: ""Has Gordon Brown's announcement about electric cars put us on a green path?""  Maybe: http://is.gd/romp"
"1476218784","","","","","2009-04-08 12:39:28 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","Does this offset Quantitative Easing much? http://is.gd/rmVl"
"1475523737","1475484830","82243","","","2009-04-08 09:15:54 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@jemimakiss Maybe ones got a longer network cable..? :-p"
"1475422153","","","","","2009-04-08 08:40:04 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Church should fund their own presence in UK hospitals and save the NHS some ?40m per year http://news.bbc.co.uk/1/hi/health/7988476.stm"
"1475336152","","","","","2009-04-08 08:11:05 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Video reveals police attack on man who died at G20 protest: http://is.gd/rhch"
"1475308038","","","","","2009-04-08 08:02:09 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Great comments on yesterdays desert island dog story http://is.gd/rj1H"
"1475272830","","","","","2009-04-08 07:50:28 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","RT @adamamyl @girlonetrack: Witness statements: #G20 demo & the unprovoked attack on Ian Tomlinson http://is.gd/riIE Please RT"
"1469378778","","","","","2009-04-07 13:11:44 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Just discovered PSPad, closest thing to GEdit on Windows. I am a bunny of the happiest variety! http://www.pspad.com"
"1469171762","","","","","2009-04-07 12:28:46 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Some bot has just sent me a link to buy Shaolin Warriors tickets in Grimsby? Twattos"
"1469114454","","","","","2009-04-07 12:15:33 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Just bought tickets for Shaolin Warriors. Judo Chop!"
"1468986735","1468883495","668283","","","2009-04-07 11:43:18 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@caffeinebomb You might find this handy for your USB apps http://is.gd/rbnS"
"1468550730","","","","","2009-04-07 09:21:33 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","""Legalisation of drugs could save UK ?14bn, says study"": http://is.gd/r6Ts"
"1468470889","","","","","2009-04-07 08:52:16 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","RT @jamiepotter: I don't shop in Tesco, can somebody tell me if this is true or a late April Fools 'promotion'? http://is.gd/r9pm"
"1468292318","","","","","2009-04-07 07:47:23 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","RT @johobbs: lovely dog story http://news.bbc.co.uk/1/hi/world/asia-pacific/7986816.stm"
"1463424851","","","","","2009-04-06 15:29:22 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Sod the car. Amazon, you can have my money."
"1463267853","","","","","2009-04-06 15:01:31 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","""Schindler's List found in Sydney"" http://is.gd/qZAe"
"1463096401","","","","","2009-04-06 14:30:51 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","RT @mocost: Occurrence of phantom genitalia after gender reassignment surgery http://cbc.ucsd.edu/pdf/occurence_phantom_genitalia.pdf [PDF]"
"1462922576","","","","","2009-04-06 13:59:10 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Wind farm to be built in south Leicestershire http://is.gd/r0mf Show your support http://www.writetothem.com/"
"1462878013","","","","","2009-04-06 13:50:47 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","I would be more apathetic, but I don't care enough."
"1461991618","","","","","2009-04-06 09:58:50 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Any one read ""13 Things That Don't Make Sense""? Is it worth spending my money on?"
"1461757371","","","","","2009-04-06 08:26:20 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Excellent: ""Don't blame teachers when it's parents who are failing"" http://is.gd/qXYZ"
"1461728223","","","","","2009-04-06 08:14:53 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","'Sustained retinal haemorrhages'!?! All in the name of science: http://is.gd/qXVW"
"1461712590","","","","","2009-04-06 08:08:44 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","That's what's replacing the space shuttle: http://is.gd/qXTA"
"1461693902","1461686382","15023475","","","2009-04-06 08:01:34 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@HallyMk1 Did you watch his follow up? http://is.gd/O9h"
"1461656018","1461563922","15023475","","","2009-04-06 07:47:23 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@HallyMk1 ISP email logging: Can't see the good it'll do, getting an email address is far easier than getting a phone number."
"1461641989","","","","","2009-04-06 07:42:06 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Envious of the 1/2 carpark of staff who don't have to work for the next two weeks."
"1438719549","","","","","2009-04-02 14:52:01 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","New Scientist, The five ages of the brain. Part 1: Gestation http://is.gd/qiV6"
"1438640291","","","","","2009-04-02 14:38:35 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","The Most Terrifying Video You'll Ever See http://is.gd/2vZe"
"1438479032","","","","","2009-04-02 14:11:16 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","Print your own Moleskine: http://is.gd/oN74"
"1438467941","","","","","2009-04-02 14:09:21 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","For no reason whatsoever, here's a girl playing violin on a pogo stick  http://is.gd/qi9Z"
"1437786862","","","","","2009-04-02 11:43:51 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Writing to planners about the Swinford Windfarm"
"1431636229","1431627736","19423823","","","2009-04-01 14:31:44 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@verbomania Just windoze. Back to normal after a reboot. grrr"
"1431574359","","","","","2009-04-01 14:21:12 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Clock wrong on computer, thought it was time to go home. Had my coat on and everything. Massive home-time fail :("
"1431143446","","","","","2009-04-01 13:03:20 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Vampire Batteries! http://is.gd/q4IP"
"1431096565","","","","","2009-04-01 12:53:58 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Oh yeah! Access Manager victory!"
"1430605280","","","","","2009-04-01 10:44:38 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","My Gf tells me the council are finally tarmacking over the massive hole in the pavement outside our house! Woop!"
"1430582005","","","","","2009-04-01 10:37:12 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","The #streetview man is a panda today!"
"1430351921","","","","","2009-04-01 09:14:00 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","""Viagra moisturiser""  ""Philosophy of navel fluff"" I dunno if New Scientist is fooling us or not? http://is.gd/q2H0"
"1430325516","","","","","2009-04-01 09:04:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter</a>","April Fool? ""Masturbation could bring hay fever relief for men"" http://is.gd/q0bm"
"1430210608","","","","","2009-04-01 08:23:59 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","YouTube's turned upside down for April Fools"
"1430198632","1430181788","14104070","","","2009-04-01 08:19:56 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@johobbs Sorry I was wrong, it's not http://is.gd/q2gX"
"1430191642","1430181788","14104070","","","2009-04-01 08:17:24 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@johobbs Saw it at the Phoenix. It's not listed for April, but I'm fairly certain that it's on tonight. http://is.gd/q2fK"
"1430110498","1430103299","21556678","","","2009-04-01 07:49:49 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@southerngfx Squamster! Marvelous!"
"1430092815","","","","","2009-04-01 07:43:47 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","""the evolutionary history of the brain [is like] building a modern car by adding parts to a 1925 Model T that never stops running"""
"1430084065","","","","","2009-04-01 07:40:50 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Morning. Went to see ""Age of Stupid"" last night. 'twer very good. I urge you to go and see it."
